,8,7,6,5,4,3,2,1
0,3.4107786000240594,3.4497307000565343,3.3181723000016063,3.560289199987892,3.496379199961666,3.781031400023494,3.863592499983497,6.51639200001955
1,3.5016872999840416,3.301209800003562,3.180973200011067,3.514500900055282,3.7361131999641657,3.5383437999989837,4.17863270000089,6.896380999998655
2,3.3838848000159487,3.5388805999537,3.23745760001475,3.7805712999543175,3.429955900006462,3.7051540999673307,4.015886299952399,7.302631500002462
3,3.3561290000216104,3.235413399990648,3.2875041000079364,3.913397199998144,3.5783358000335284,3.5676847000140697,4.244973299966659,7.033420499996282
4,3.485981199948583,3.1821034999447875,3.248157900001388,3.3452785999979824,3.6960083000012673,3.682762400014326,4.3718287000083365,6.168345799960662
5,3.4797625000355765,3.2793390000006184,4.179484300024342,3.5127918000216596,3.508631200005766,3.691899299970828,4.318156099994667,6.156959599989932
6,3.287406200019177,3.457733199989889,3.672691499989014,3.6070190999889746,3.556211900024209,3.657796400017105,3.99396589997923,6.160818099975586
7,3.5418123999843374,3.2899398999870755,3.634971199964639,3.925242699973751,3.672018699988257,3.6024575000046752,4.383902799978387,6.391072999977041
8,3.4913970999768935,4.262409100017976,3.4190632000099868,3.446792499977164,3.2348781999899074,3.479522699955851,3.8361416999832727,6.475982900010422
9,3.4054007999948226,3.3767212000093423,3.1283534999820404,3.471248199988622,3.196939299989026,3.488758500025142,4.019228800025303,6.135531000036281
10,3.2664328000391833,3.5122170000104234,4.05889380001463,3.6376506999949925,3.3032228000229225,3.3975465000257827,4.938529999984894,6.3719866999890655
11,3.6033460999606177,3.6895432000164874,3.9303803000366315,3.394905299996026,3.232319400005508,3.5567125999950804,4.085697499976959,6.353211200039368
12,3.612442200013902,3.3833540999912657,4.023505099990871,3.409613800002262,3.2751760999672115,3.421194700000342,4.117151000013109,6.573585700010881
13,3.48168019996956,3.665852600010112,3.766707699978724,3.692930899967905,3.2477976999944076,3.393119099957403,4.151661799987778,6.377940000034869
14,3.5626289999927394,3.5498960000113584,3.758205599966459,3.6643637999659404,3.2886814000084996,3.422123400028795,4.119347499974538,6.331495099992026
15,3.7148165999678895,3.6371770999976434,4.0055441000149585,3.4678061000304297,3.276111099985428,3.414143200032413,3.6906379999709316,5.86382709996542
16,3.3701837000553496,3.9846770000294782,3.922178199980408,3.7098776000202633,3.308534200012218,3.4531891999649815,4.11070080002537,6.105277800001204
17,3.298892299993895,3.757620299991686,3.5987527000252157,3.776738699991256,3.2940293999854475,3.702321099990513,4.145336500019766,5.888282100029755
18,3.4133008000208065,3.677474899974186,3.9440171999740414,3.7557821999653243,3.1990066000143997,3.789849900000263,4.232582700031344,5.959008599980734
19,3.4314057999872603,3.3243081999826245,3.6876296999980696,3.4916006000130437,3.2319993999553844,3.584169199981261,4.4943079999648035,5.998460499977227
