,16
0,47.35898192040622
1,47.132451141253114
2,47.31908371113241
3,47.19426795467734
4,47.63640188984573
5,47.92488616891205
6,47.51885398849845
7,47.750916220247746
8,47.550081284716725
9,47.37185845896602
10,46.833713164553046
11,47.00212555937469
12,47.36181153729558
13,47.46063891984522
14,47.85422617942095
15,47.612199200317264
16,47.51029398292303
17,47.946872455999255
18,47.99096535332501
19,48.737227065488696
20,47.138928923755884
21,48.194582637399435
22,47.658418791368604
23,47.65770384296775
24,47.162990152835846
25,47.6379315033555
26,47.71706863120198
27,47.84766008332372
28,47.63189779408276
29,47.46063678525388
30,47.43814800307155
31,47.981181336566806
32,47.46893656253815
33,47.341833194717765
34,47.56331706419587
35,47.66735214740038
36,48.041166827082634
37,47.66748825088143
38,47.578507255762815
39,47.468047067523
40,47.51706901937723
41,47.6984869427979
42,47.33578596636653
43,46.94247712381184
44,47.30377190746367
45,47.54475563950837
46,47.784904442727566
47,47.58237957581878
48,47.51457513123751
49,47.43212526664138
50,47.785222593694925
51,47.98356884159148
52,47.41965261474252
53,47.3374265152961
54,47.735977187752724
55,47.06348058767617
56,47.016150034964085
57,47.50355979986489
58,46.66888505592942
59,47.03304257616401
60,47.751365127041936
61,47.780429627746344
62,47.31338927336037
63,47.34447585605085
64,47.66046027652919
65,47.46278003975749
66,47.86666691675782
67,47.63898604735732
68,47.672221925109625
69,47.61723665334284
70,47.546491803601384
71,47.65260844491422
72,47.54651315510273
73,47.39142481610179
74,47.72541746869683
75,47.98127799294889
76,47.668814623728395
77,47.62769530899823
78,47.72885761409998
79,47.43147996068001
80,47.37314484268427
81,48.03569410555065
82,48.094680620357394
83,47.513046748936176
84,47.98159523680806
85,47.73970168270171
86,46.361816002056
87,47.88312980718911
88,47.872716238722205
89,48.12703223153949
90,47.70742723159492
91,46.98072832450271
92,47.49485340900719
93,47.86635486409068
94,47.54730359651148
95,47.68919279240072
96,47.963094640523195
97,46.21034097671509
98,45.19077827781439
99,47.389761878177524
