,8
0,36.06966237910092
1,35.94167639501393
2,36.249714178964496
3,35.582696568220854
4,34.692941004410386
5,34.46493327990174
6,35.4632207993418
7,35.79251172952354
8,35.36519172415137
9,34.87546514905989
10,35.41387337259948
11,37.180782459676266
12,35.88474579900503
13,36.69286244548857
14,34.159422527998686
15,34.007185481488705
16,33.81136563234031
17,34.073461182415485
18,33.98290207050741
19,34.259605476632714
20,33.6790912412107
21,35.65533590503037
22,36.62155771069229
23,35.66250741109252
24,33.55560683645308
25,33.84970616362989
26,33.123362788930535
27,33.80625746026635
28,34.847750866785645
29,35.21036165393889
30,34.80014452151954
31,32.98351951688528
32,32.71209795959294
33,34.38297126442194
34,33.635457472875714
35,33.151698373258114
36,34.92629898712039
37,33.62051639892161
38,34.66635680757463
39,33.2773743160069
40,33.40600557997823
41,33.73022790066898
42,33.764855762943625
43,35.315207885578275
44,33.78084228001535
45,33.57112074829638
46,33.920764775946736
47,34.49183565378189
48,33.74838996678591
49,33.60790652409196
50,33.6378495041281
51,34.89072351157665
52,34.49050645902753
53,33.85833500511944
54,34.208874410018325
55,34.46041315048933
56,34.49259567260742
57,34.76707302965224
58,35.231171717867255
59,35.89620768465102
60,34.652465023100376
61,34.63153830729425
62,33.7207767162472
63,35.23360667005181
64,34.35291211493313
65,34.88824096508324
66,34.1294318176806
67,35.09909329004586
68,34.50578582845628
69,34.62846728786826
70,34.196274837478995
71,34.6200115699321
72,34.582673352211714
73,34.39118202403188
74,33.87946670688689
75,34.25295880809426
76,33.70942581444979
77,34.12264660000801
78,34.23082589358091
79,34.487656593322754
80,34.69357173144817
81,35.76227989047766
82,35.66511257737875
83,33.8966144118458
84,33.625614285469055
85,34.88386927731335
86,34.55393546819687
87,34.619417602196336
88,33.93212011270225
89,34.04066636040807
90,33.81031161174178
91,34.16038298793137
92,34.963116612285376
93,33.88891198858619
94,34.456177700310946
95,34.74520327523351
96,33.60813904739916
97,35.56194258853793
98,34.5979623477906
99,36.14663330838084
