,12
0,42.92355033685453
1,43.35634294594638
2,42.73147710203193
3,43.1390870178584
4,42.68420195393264
5,41.67490176600404
6,43.765392226865515
7,42.77287140698172
8,41.65589942294173
9,41.90657643601298
10,43.39751067291945
11,42.04249365092255
12,43.43343828199431
13,43.15190331917256
14,40.97243933100253
15,44.098020100966096
16,41.452395466156304
17,41.73856012499891
18,42.148682018974796
19,42.91710053407587
20,41.89310412295163
21,41.94987736502662
22,41.703598564025015
23,44.15663730609231
24,42.45357890892774
25,42.31672626012005
26,41.20897197118029
27,40.93509500590153
28,41.96047997591086
29,42.126947968965396
30,41.861192665062845
31,42.34900271403603
32,43.03212358895689
33,41.91560939303599
34,43.07435693196021
35,40.60689846193418
36,41.93522609700449
37,43.33938095392659
38,41.36726565705612
39,40.79691489902325
40,43.002805022057146
41,40.94024109793827
42,40.93460310087539
43,40.44713435298763
44,43.45828990195878
45,42.20775115280412
46,42.72881596791558
47,41.9427890770603
48,41.760757844895124
49,41.961114851990715
50,41.410725426860154
51,40.471216898877174
52,40.635198353091255
53,42.394228728022426
54,44.347340057138354
55,43.811474034097046
56,42.32586722099222
57,40.59074595500715
58,42.47877548611723
59,42.69537944486365
60,41.20351039408706
61,42.37020242982544
62,40.61413950799033
63,40.682573274942115
64,41.16077714995481
65,41.08180042798631
66,42.86488511785865
67,42.22546694218181
68,42.60846501006745
69,41.09119229018688
70,41.53639781381935
71,43.86746879294515
72,42.323890631087124
73,42.933496134821326
74,42.78423984488472
75,42.12959874002263
76,42.853483406826854
77,40.86701150704175
78,41.785879381000996
79,43.25622192514129
80,42.35043000499718
81,40.56274993997067
82,41.39694841601886
83,41.58887017914094
84,43.56579974805936
85,42.41198896197602
86,42.41253925394267
87,43.57552624400705
88,41.22827397217043
89,41.73463423992507
90,43.72749036317691
91,42.21937988395803
92,43.361309624044225
93,41.402772814035416
94,41.15258703986183
95,41.67604005406611
96,41.19376206002198
97,43.81682985089719
98,41.506906426046044
99,40.81542075308971
